window,role,season,stratum,tso_period_s,n_inner_configured
d_quiet_summer,quiet,summer,none,60.0,3
d_quiet_spring,quiet,spring,full,60.0,3
d_gen_trip_spring,gen_trip,spring,full,60.0,3
d_gen_trip_summer,gen_trip,summer,full,60.0,3
d_gen_trip_winter,gen_trip,winter,partial,60.0,3
d_ramp_up_winter,ramp_up,winter,none,60.0,3
d_ramp_up_autumn,ramp_up,autumn,partial,60.0,3
d_ramp_up_spring,ramp_up,spring,full,60.0,3
d_ramp_down_summer,ramp_down,summer,full,60.0,3
d_ramp_down_spring,ramp_down,spring,partial,60.0,3
d_reversal_spring,reversal,spring,full,60.0,3
d_reversal_autumn,reversal,autumn,partial,60.0,3
d_quiet_summer,quiet,summer,none,120.0,6
d_quiet_spring,quiet,spring,full,120.0,6
d_gen_trip_spring,gen_trip,spring,full,120.0,6
d_gen_trip_summer,gen_trip,summer,full,120.0,6
d_gen_trip_winter,gen_trip,winter,partial,120.0,6
d_ramp_up_winter,ramp_up,winter,none,120.0,6
d_ramp_up_autumn,ramp_up,autumn,partial,120.0,6
d_ramp_up_spring,ramp_up,spring,full,120.0,6
d_ramp_down_summer,ramp_down,summer,full,120.0,6
d_ramp_down_spring,ramp_down,spring,partial,120.0,6
d_reversal_spring,reversal,spring,full,120.0,6
d_reversal_autumn,reversal,autumn,partial,120.0,6
d_quiet_summer,quiet,summer,none,180.0,9
d_quiet_spring,quiet,spring,full,180.0,9
d_gen_trip_spring,gen_trip,spring,full,180.0,9
d_gen_trip_summer,gen_trip,summer,full,180.0,9
d_gen_trip_winter,gen_trip,winter,partial,180.0,9
d_ramp_up_winter,ramp_up,winter,none,180.0,9
d_ramp_up_autumn,ramp_up,autumn,partial,180.0,9
d_ramp_up_spring,ramp_up,spring,full,180.0,9
d_ramp_down_summer,ramp_down,summer,full,180.0,9
d_ramp_down_spring,ramp_down,spring,partial,180.0,9
d_reversal_spring,reversal,spring,full,180.0,9
d_reversal_autumn,reversal,autumn,partial,180.0,9
d_quiet_summer,quiet,summer,none,240.0,12
d_quiet_spring,quiet,spring,full,240.0,12
d_gen_trip_spring,gen_trip,spring,full,240.0,12
d_gen_trip_summer,gen_trip,summer,full,240.0,12
d_gen_trip_winter,gen_trip,winter,partial,240.0,12
d_ramp_up_winter,ramp_up,winter,none,240.0,12
d_ramp_up_autumn,ramp_up,autumn,partial,240.0,12
d_ramp_up_spring,ramp_up,spring,full,240.0,12
d_ramp_down_summer,ramp_down,summer,full,240.0,12
d_ramp_down_spring,ramp_down,spring,partial,240.0,12
d_reversal_spring,reversal,spring,full,240.0,12
d_reversal_autumn,reversal,autumn,partial,240.0,12
d_quiet_summer,quiet,summer,none,300.0,15
d_quiet_spring,quiet,spring,full,300.0,15
d_gen_trip_spring,gen_trip,spring,full,300.0,15
d_gen_trip_summer,gen_trip,summer,full,300.0,15
d_gen_trip_winter,gen_trip,winter,partial,300.0,15
d_ramp_up_winter,ramp_up,winter,none,300.0,15
d_ramp_up_autumn,ramp_up,autumn,partial,300.0,15
d_ramp_up_spring,ramp_up,spring,full,300.0,15
d_ramp_down_summer,ramp_down,summer,full,300.0,15
d_ramp_down_spring,ramp_down,spring,partial,300.0,15
d_reversal_spring,reversal,spring,full,300.0,15
d_reversal_autumn,reversal,autumn,partial,300.0,15
