tso_period_s,n_inner_configured,group,n_intervals,n_intervals_scored,n_dropped_delta_floor,rho_median,rho_p95,rho_max,n_k_median,n_k_p95,n_k_max,n_k_uncensored_median,n_k_uncensored_p95,n_k_uncensored_max,n_uncensored,censoring_fraction,cair_width_median_mvar,lockout_occupancy_mean,tap_moves_total,tap_moves_per_interval,v_violations,v_violation_fraction,z_slack_max
60.0,3,DSO_1,3276,227,3013,0.4892912332334493,2.2063403888684885,5.669560869242119,0.0,3.0,3.0,0.0,0.0,2.0,2762,0.1568986568986569,102.52757261327051,0.0,0,0.0,0,0.0,0.0
60.0,3,DSO_2,3276,182,3058,0.4367490593132787,2.1140579197617315,6.1283149331634785,0.0,3.0,3.0,0.0,0.0,2.0,2695,0.17735042735042736,92.32832145123405,0.0,0,0.0,0,0.0,0.0
60.0,3,DSO_3,3276,186,3054,0.5324211353714967,3.356630057135583,8.972787880413156,0.0,3.0,3.0,0.0,0.0,2.0,2731,0.16636141636141635,105.97448254814257,0.0,0,0.0,0,0.0,0.0
60.0,3,DSO_4,3276,113,3127,0.2887442044378022,2.0796633841510395,3.790371201221623,0.0,3.0,3.0,0.0,0.0,2.0,2854,0.1288156288156288,85.52450219777063,0.0006105006105006105,0,0.0,6,0.0018315018315018315,8.648914841210915e-05
60.0,3,__pooled__,13104,708,12252,0.44067619825224935,2.5139698326217017,8.972787880413156,0.0,3.0,3.0,0.0,0.0,2.0,11042,0.15735653235653235,92.6803220684833,0.00015262515262515263,0,0.0,6,0.0004578754578754579,8.648914841210915e-05
120.0,6,DSO_1,1656,239,1381,0.2724778179258202,2.3292991483889813,5.404795196390225,0.0,6.0,6.0,0.0,1.0,5.0,1371,0.1721014492753623,102.54015087666716,0.0006038647342995169,1,0.0006038647342995169,0,0.0,0.0
120.0,6,DSO_2,1656,203,1417,0.32523476151876174,2.1457781491418513,6.227355530110589,0.0,6.0,6.0,0.0,1.0,5.0,1408,0.1497584541062802,92.36996961703869,0.0,0,0.0,0,0.0,0.0
120.0,6,DSO_3,1656,203,1417,0.5266518218161848,3.1216261811477115,8.631651630950959,0.0,6.0,6.0,0.0,0.0,4.0,1361,0.17814009661835747,106.40822740339192,0.0,0,0.0,0,0.0,0.0
120.0,6,DSO_4,1656,134,1486,0.1743620407766782,2.8434975785860637,5.920658227413162,0.0,6.0,6.0,0.0,0.0,5.0,1456,0.12077294685990338,85.54185749081547,0.0,0,0.0,0,0.0,0.0
120.0,6,__pooled__,6624,779,5701,0.3094788201158751,2.77819744359461,8.631651630950959,0.0,6.0,6.0,0.0,0.0,5.0,5596,0.15519323671497584,93.16371007844702,0.00015096618357487922,1,0.00015096618357487922,0,0.0,0.0
180.0,9,DSO_1,1116,234,846,0.28833815593430145,3.079186741530526,6.7914586099165195,0.0,9.0,9.0,0.0,2.0,8.0,930,0.16666666666666666,102.56346130001,0.0005973715651135007,1,0.0008960573476702509,0,0.0,0.0
