n all_free unconstrained vconstrained
0 0.120773 0.201754 0.021505
1 0.304348 0.447368 0.129032
2 0.386473 0.552632 0.182796
3 0.454106 0.657895 0.204301
4 0.531401 0.719298 0.301075
5 0.555556 0.736842 0.333333
6 0.594203 0.780702 0.365591
7 0.599034 0.789474 0.365591
8 0.623188 0.815789 0.387097
9 0.685990 0.885965 0.440860
10 0.719807 0.912281 0.483871
11 0.753623 0.921053 0.548387
12 0.763285 0.921053 0.569892
13 0.772947 0.929825 0.580645
14 0.792271 0.938596 0.612903
15 0.845411 0.947368 0.720430
16 0.864734 0.956140 0.752688
17 0.879227 0.964912 0.774194
18 0.884058 0.964912 0.784946
19 0.898551 0.964912 0.817204
20 0.903382 0.973684 0.817204
21 0.913043 0.973684 0.838710
22 0.927536 0.973684 0.870968
23 0.927536 0.973684 0.870968
24 0.927536 0.973684 0.870968
25 0.937198 0.973684 0.892473
26 0.937198 0.973684 0.892473
27 0.942029 0.982456 0.892473
28 0.946860 0.982456 0.903226
29 0.951691 0.982456 0.913978
30 0.961353 0.982456 0.935484
31 0.961353 0.982456 0.935484
32 0.961353 0.982456 0.935484
33 0.961353 0.982456 0.935484
34 0.961353 0.982456 0.935484
35 0.966184 0.982456 0.946237
36 0.975845 0.982456 0.967742
37 0.980676 0.991228 0.967742
38 0.980676 0.991228 0.967742
39 0.980676 0.991228 0.967742
40 0.985507 0.991228 0.978495
41 0.985507 0.991228 0.978495
42 0.985507 0.991228 0.978495
43 0.985507 0.991228 0.978495
44 0.985507 0.991228 0.978495
45 0.985507 0.991228 0.978495
46 0.985507 0.991228 0.978495
