lo hi mid all_free unconstrained vconstrained
0 1 0.500000 0.120773 0.201754 0.021505
1 2 1.500000 0.183575 0.245614 0.107527
2 3 2.500000 0.082126 0.105263 0.053763
3 5 4.000000 0.144928 0.166667 0.118280
5 7 6.000000 0.062802 0.061404 0.064516
7 9 8.000000 0.028986 0.035088 0.021505
9 12 10.500000 0.130435 0.105263 0.161290
12 15 13.500000 0.038647 0.017544 0.064516
15 20 17.500000 0.106280 0.026316 0.204301
20 25 22.500000 0.028986 0.008772 0.053763
25 30 27.500000 0.024155 0.008772 0.043011
30 40 35.000000 0.028986 0.008772 0.053763
40 46 43.000000 0.004831 0.000000 0.010753
