window,dso,trafo,direction,variant,max_step_mvar
d_quiet_spring,DSO_4,DSO_4|trafo_9,down,frozen_ofo,10.0
d_quiet_spring,DSO_4,DSO_4|trafo_10,up,frozen_ofo,10.0
d_quiet_spring,DSO_4,DSO_4|trafo_11,down,frozen_ofo,10.0
d_gen_trip_spring,DSO_4,DSO_4|trafo_9,up,frozen_ofo,10.0
d_gen_trip_spring,DSO_4,DSO_4|trafo_10,down,frozen_ofo,10.0
d_gen_trip_spring,DSO_4,DSO_4|trafo_11,up,frozen_ofo,10.0
d_gen_trip_summer,DSO_4,DSO_4|trafo_9,down,frozen_ofo,10.0
d_gen_trip_summer,DSO_4,DSO_4|trafo_10,up,frozen_ofo,10.0
d_gen_trip_summer,DSO_4,DSO_4|trafo_11,down,frozen_ofo,10.0
d_gen_trip_winter,DSO_4,DSO_4|trafo_9,up,frozen_ofo,10.0
d_gen_trip_winter,DSO_4,DSO_4|trafo_10,down,frozen_ofo,10.0
d_gen_trip_winter,DSO_4,DSO_4|trafo_11,up,frozen_ofo,10.0
d_ramp_up_autumn,DSO_4,DSO_4|trafo_9,down,frozen_ofo,10.0
d_ramp_up_autumn,DSO_4,DSO_4|trafo_10,up,frozen_ofo,10.0
d_ramp_up_autumn,DSO_4,DSO_4|trafo_11,down,frozen_ofo,10.0
d_ramp_up_spring,DSO_4,DSO_4|trafo_9,up,frozen_ofo,10.0
d_ramp_up_spring,DSO_4,DSO_4|trafo_10,down,frozen_ofo,10.0
d_ramp_up_spring,DSO_4,DSO_4|trafo_11,up,frozen_ofo,10.0
d_ramp_down_summer,DSO_4,DSO_4|trafo_9,down,frozen_ofo,10.0
d_ramp_down_summer,DSO_4,DSO_4|trafo_10,up,frozen_ofo,10.0
d_ramp_down_summer,DSO_4,DSO_4|trafo_11,down,frozen_ofo,10.0
d_ramp_down_spring,DSO_4,DSO_4|trafo_9,up,frozen_ofo,10.0
d_ramp_down_spring,DSO_4,DSO_4|trafo_10,down,frozen_ofo,10.0
d_ramp_down_spring,DSO_4,DSO_4|trafo_11,up,frozen_ofo,10.0
d_reversal_spring,DSO_4,DSO_4|trafo_9,down,frozen_ofo,10.0
d_reversal_spring,DSO_4,DSO_4|trafo_10,up,frozen_ofo,10.0
d_reversal_spring,DSO_4,DSO_4|trafo_11,down,frozen_ofo,10.0
d_reversal_autumn,DSO_4,DSO_4|trafo_9,up,frozen_ofo,10.0
d_reversal_autumn,DSO_4,DSO_4|trafo_10,down,frozen_ofo,10.0
d_reversal_autumn,DSO_4,DSO_4|trafo_11,up,frozen_ofo,10.0
