window,dso,direction,variant,trafo,group,n_inner,censored,n_inner_tracking,tracking_censored,steady_state_offset_mvar,final_delta_mvar,capability_limited,headroom_end_mvar,n_inner_cap,step_mvar,raw_step_mvar,step_cap_mvar,step_capped,command_delivery_error_mvar,band_width_mvar,q_set_after_mvar,q_actual_after_mvar,residual_mvar,tap_moves,v_min_pu,v_max_pu,v_violation,z_slack_max,n_inner_flat_0.02,n_inner_flat_0.05,n_inner_flat_0.1,n_inner_flat_0.25,n_inner_flat_1,unconverged_flat_0.02,unconverged_flat_0.05,unconverged_flat_0.1,unconverged_flat_0.25,unconverged_flat_1
d_gen_trip_spring,DSO_4,up,frozen_ofo,DSO_4|trafo_9,DSO_4,14,False,6,False,0.024302950754822916,0.003596514974944398,False,27.606197880650598,46,10.0,35.780814546673,10.0,True,0.0,85.51648379223732,14.488716422858097,14.464413472103274,0.024302950754822916,0,1.0191623916814199,1.0437319420440425,False,0.0,29,20,14,8,2,False,False,False,False,False
d_gen_trip_spring,DSO_4,down,frozen_ofo,DSO_4|trafo_10,DSO_4,27,False,6,False,0.11566429921126087,0.010622234583535839,False,140.7708678644729,46,-10.0,-143.10872206000747,10.0,True,0.0,264.49777718036296,-2.2080121854927217,-2.092347886281461,0.11566429921126087,0,1.0251138437649363,1.0552426527206453,False,0.0,40,33,27,20,10,False,False,False,False,False
d_gen_trip_spring,DSO_4,up,frozen_ofo,DSO_4|trafo_11,DSO_4,37,False,8,False,0.07088228568299826,0.04617488512465506,False,74.95187198205535,46,10.0,80.98942695556323,10.0,True,0.0,197.0509064553765,13.410458867606195,13.339576581923197,0.07088228568299826,0,1.0183075804881914,1.0419408299279305,False,0.0,46,44,37,27,13,True,False,False,False,False
d_ramp_up_autumn,DSO_4,up,frozen_ofo,DSO_4|trafo_10,DSO_4,7,False,4,False,0.06267439375535488,0.001654291837409616,False,43.478827693376154,46,10.0,52.98943901303572,10.0,True,0.0,108.64230114622322,-10.798471442468657,-10.735797048713302,0.06267439375535488,0,1.0197515962740877,1.0315418587154501,False,0.0,18,10,7,3,1,False,False,False,False,False
d_ramp_up_autumn,DSO_4,down,frozen_ofo,DSO_4|trafo_9,DSO_4,0,False,46,True,5.078584773001855,0.022930707916617443,False,6.732899256025907,46,-5.9969939601870665,-5.9969939601870665,10.0,False,0.0,12.936041082897708,-11.481073423475642,-6.402488650473788,5.078584773001855,0,1.021343918621299,1.0429713263282576,False,0.0,46,0,0,0,0,True,False,False,False,False
d_ramp_up_autumn,DSO_4,down,frozen_ofo,DSO_4|trafo_11,DSO_4,11,False,9,False,0.06553440378001696,0.0012097429755790756,False,19.541864890397967,46,-10.0,-24.390687415327104,10.0,True,0.0,55.09545091446155,-26.0157973566475,-25.950262952867483,0.06553440378001696,0,1.0220626907020105,1.051299195525791,False,0.0,21,17,11,7,2,False,False,False,False,False
d_quiet_spring,DSO_4,down,frozen_ofo,DSO_4|trafo_9,DSO_4,8,False,5,False,0.043183691250003875,9.095006073245315e-05,False,32.29676470932515,46,-10.0,-38.80077085046079,10.0,True,0.0,84.84456516574542,-11.819064251067356,-11.86224794231736,0.043183691250003875,0,1.021881399498649,1.0487236117567242,False,0.0,14,10,8,6,2,False,False,False,False,False
d_gen_trip_winter,DSO_4,up,frozen_ofo,DSO_4|trafo_11,DSO_4,7,False,4,False,0.09203033266205196,0.00030713053504172194,False,29.311956152846747,46,10.0,34.152327441622944,10.0,True,0.0,75.5350670324974,-19.784918225080926,-19.692887892418874,0.09203033266205196,0,1.0281973346246032,1.0452513114981956,False,0.0,11,9,7,5,1,False,False,False,False,False
d_gen_trip_summer,DSO_4,up,frozen_ofo,DSO_4|trafo_10,DSO_4,12,False,2,False,0.0346520154149319,0.0005559238533390243,False,113.31012777407221,46,10.0,119.79642058768032,10.0,True,0.0,256.7620404169843,3.7420365469945747,3.7766885624095066,0.0346520154149319,0,1.0165622698175607,1.0378519710178944,False,0.0,19,16,12,9,4,False,False,False,False,False
d_quiet_spring,DSO_4,down,frozen_ofo,DSO_4|trafo_11,DSO_4,12,False,4,False,0.040818523706057874,0.0008745869869990486,False,93.5553522662598,46,-10.0,-93.8806885388207,10.0,True,0.0,192.27198157308982,-15.301722147890636,-15.260903624184579,0.040818523706057874,0,1.0209669715516714,1.0557517730168535,False,0.0,15,15,12,9,4,False,False,False,False,False
