window,dso,direction,variant,trafo,group,n_inner,censored,n_inner_tracking,tracking_censored,steady_state_offset_mvar,final_delta_mvar,capability_limited,headroom_end_mvar,n_inner_cap,step_mvar,raw_step_mvar,step_cap_mvar,step_capped,command_delivery_error_mvar,band_width_mvar,q_set_after_mvar,q_actual_after_mvar,residual_mvar,tap_moves,v_min_pu,v_max_pu,v_violation,z_slack_max,n_inner_flat_0.02,n_inner_flat_0.05,n_inner_flat_0.1,n_inner_flat_0.25,n_inner_flat_1,unconverged_flat_0.02,unconverged_flat_0.05,unconverged_flat_0.1,unconverged_flat_0.25,unconverged_flat_1
d_quiet_spring,DSO_1,up,frozen_ofo,DSO_1|trafo_0,DSO_1,4,False,7,False,0.028458361067844606,0.0026599762244146063,False,37.55701176001455,46,10.0,46.957816000899555,10.0,True,0.0,102.68941917163104,10.476275290651678,10.447816929583833,0.028458361067844606,0,1.0164703688864392,1.0308437346484005,False,0.0,18,14,10,8,4,False,False,False,False,False
d_quiet_spring,DSO_4,down,frozen_ofo,DSO_4|trafo_9,DSO_4,2,False,4,False,0.14226596208845343,0.386735132821423,False,32.56158244386455,46,-10.0,-38.881598277319476,10.0,True,0.0,84.84456516574542,-11.736413338797846,-11.594147376709392,0.14226596208845343,0,1.0209301125591408,1.043705595304201,False,0.0,46,46,46,46,2,True,True,True,True,False
d_quiet_spring,DSO_2,down,frozen_ofo,DSO_2|trafo_5,DSO_2,9,False,6,False,0.046097877091739736,0.0044690147811827785,False,100.65182168411819,46,-10.0,-101.04952434207839,10.0,True,0.0,192.77194098939478,3.8828717282144076,3.9289696053061474,0.046097877091739736,0,1.022906224305789,1.048557533376419,False,0.0,32,26,22,16,9,False,False,False,False,False
d_quiet_spring,DSO_1,up,frozen_ofo,DSO_1|trafo_2,DSO_1,6,False,6,False,0.027529435952057923,0.007163075300828936,False,75.83691252274272,46,10.0,85.58679783770037,10.0,True,0.0,189.50794287667736,14.48978805475712,14.462258618805063,0.027529435952057923,0,1.0139520463328489,1.0300157106309091,False,0.0,18,16,12,10,6,False,False,False,False,False
d_quiet_spring,DSO_2,down,frozen_ofo,DSO_2|trafo_3,DSO_2,4,False,6,False,0.02439138013838793,0.009198739308180492,False,40.312106625382384,46,-10.0,-46.94548477900507,10.0,True,0.0,92.25135305713552,-9.401601510428982,-9.42599289056737,0.02439138013838793,0,1.0231263628530738,1.0417007926352966,False,0.0,18,16,12,8,4,False,False,False,False,False
d_quiet_spring,DSO_3,down,frozen_ofo,DSO_3|trafo_7,DSO_3,4,False,8,False,0.13447990014002897,0.006735026293697821,False,109.46389223921781,46,-10.0,-110.83964016578561,10.0,True,0.0,213.76806385152204,-7.0627408836794885,-6.9282609835394595,0.13447990014002897,0,1.0223879012678718,1.0330875287025254,False,0.0,19,17,12,8,4,False,False,False,False,False
d_quiet_spring,DSO_3,up,frozen_ofo,DSO_3|trafo_6,DSO_3,4,False,11,False,0.03159369744996887,0.0024572347069771183,False,41.29623351183246,46,10.0,50.714769448087445,10.0,True,0.0,114.68098257485279,12.2592520030788,12.22765830562883,0.03159369744996887,0,1.018035731087157,1.0252689013902871,False,0.0,22,18,14,8,4,False,False,False,False,False
d_quiet_spring,DSO_3,up,frozen_ofo,DSO_3|trafo_8,DSO_3,4,False,8,False,0.044727540252164744,0.01702981441128948,False,75.66687682916513,46,10.0,85.3030121387407,10.0,True,0.0,193.09668316405867,14.437746203065798,14.393018662813633,0.044727540252164744,0,1.0158054286367684,1.0244344706731805,False,0.0,16,16,10,8,4,False,False,False,False,False
d_quiet_spring,DSO_1,down,frozen_ofo,DSO_1|trafo_1,DSO_1,6,False,6,False,0.10767194491408993,0.00864680972383347,False,117.8956328664288,46,-10.0,-118.90122150956556,10.0,True,0.0,230.65717058146802,-9.469623303678269,-9.361951358764179,0.10767194491408993,0,1.0215616682401487,1.0415507207458643,False,0.0,16,14,12,8,6,False,False,False,False,False
d_quiet_spring,DSO_2,up,frozen_ofo,DSO_2|trafo_4,DSO_2,12,False,8,False,0.02687610345724245,0.030228598554804975,False,96.99170974688337,46,10.0,104.39367348479777,10.0,True,0.0,242.5598744469017,5.833358070832592,5.860234174289834,0.02687610345724245,0,1.016846482724023,1.0354846658492365,False,0.0,46,29,26,21,12,True,False,False,False,False
