window,dso,direction,variant,trafo,group,n_inner,censored,n_inner_tracking,tracking_censored,steady_state_offset_mvar,final_delta_mvar,capability_limited,headroom_end_mvar,n_inner_cap,step_mvar,raw_step_mvar,step_cap_mvar,step_capped,command_delivery_error_mvar,band_width_mvar,q_set_after_mvar,q_actual_after_mvar,residual_mvar,tap_moves,v_min_pu,v_max_pu,v_violation,z_slack_max,n_inner_flat_0.02,n_inner_flat_0.05,n_inner_flat_0.1,n_inner_flat_0.25,n_inner_flat_1,unconverged_flat_0.02,unconverged_flat_0.05,unconverged_flat_0.1,unconverged_flat_0.25,unconverged_flat_1
d_quiet_spring,DSO_4,down,frozen_ofo,DSO_4|trafo_11,DSO_4,46,True,46,True,1.899235392530949,3.7613463634002233,False,95.69691404017804,46,-10.0,-94.18152055566922,10.0,True,0.0,192.2719815730898,-14.97601242898716,-13.076777036456212,1.899235392530949,0,1.0196660779207904,1.0526117790999892,False,0.0,46,46,46,46,46,True,True,True,True,True
d_quiet_spring,DSO_4,up,frozen_ofo,DSO_4|trafo_10,DSO_4,46,True,46,True,2.7392666277147484,5.42264985100775,False,112.97366068091456,46,10.0,116.7336211476586,10.0,True,0.0,256.85576387450186,3.3361671275812315,0.5969004998664831,2.7392666277147484,0,1.0147352480848824,1.038830762752461,False,0.0,46,46,46,46,46,True,True,True,True,True
d_gen_trip_spring,DSO_4,up,frozen_ofo,DSO_4|trafo_11,DSO_4,46,True,46,True,2.290400353405854,4.274905593419165,False,75.20434093116762,46,10.0,79.01388693169154,10.0,True,0.0,197.0509064553765,15.480288504014728,13.189888150608876,2.290400353405854,0,1.0151265174407162,1.0393611597155643,False,0.0,46,46,46,46,46,True,True,True,True,True
d_gen_trip_spring,DSO_4,up,frozen_ofo,DSO_4|trafo_9,DSO_4,46,True,7,False,0.582401293008191,1.2778939577870323,False,26.377808460155745,46,10.0,35.14475699798237,10.0,True,0.0,85.51648379223732,15.098519781952378,15.680921074960567,0.582401293008191,0,1.0167554322294017,1.0437430974635655,False,0.0,46,46,46,46,46,True,True,True,True,True
d_gen_trip_spring,DSO_4,down,frozen_ofo,DSO_4|trafo_10,DSO_4,46,True,46,True,2.950824827633563,5.779449425346729,False,146.4618578642243,46,-10.0,-145.81964371580864,10.0,True,0.0,264.497777180363,0.6324618631869363,3.583286690820499,2.950824827633563,0,1.022931283409478,1.048709649507854,False,0.0,46,46,46,46,46,True,True,True,True,True
d_gen_trip_summer,DSO_4,up,frozen_ofo,DSO_4|trafo_10,DSO_4,46,True,46,True,1.7069516101876978,3.3841797009459063,False,114.96788640595788,46,10.0,119.69249235940993,10.0,True,0.0,256.7620404169843,3.8545743970418513,2.147622786854153,1.7069516101876978,0,1.0159002879421355,1.0367953187539145,False,0.0,46,46,46,46,46,True,True,True,True,True
d_gen_trip_summer,DSO_4,down,frozen_ofo,DSO_4|trafo_11,DSO_4,46,True,22,False,0.5775087198241202,1.0483536749636606,False,88.83018690868248,46,-10.0,-89.86196723748576,10.0,True,0.0,191.33786379520217,-14.950391640218369,-14.372882920394249,0.5775087198241202,0,1.020743606562436,1.050850113484348,False,0.0,46,46,46,46,46,True,True,True,True,True
d_ramp_down_summer,DSO_4,down,frozen_ofo,DSO_4|trafo_9,DSO_4,46,True,7,False,0.7045589870874016,1.2974345913364855,False,35.915222592369304,46,-10.0,-43.0496160252529,10.0,True,0.0,85.52735721921715,-7.178808033204419,-7.8833670202918205,0.7045589870874016,0,1.0201851265215345,1.0482412753991668,False,0.0,46,46,46,46,46,True,True,True,True,True
d_ramp_down_summer,DSO_4,up,frozen_ofo,DSO_4|trafo_10,DSO_4,46,True,46,True,2.9841693454509013,5.94627887860533,False,110.52539396766664,46,10.0,113.8801941917084,10.0,True,0.0,265.78819718539694,16.254654036299186,13.270484690848283,2.9841693454509013,0,1.013443265914569,1.044458658585107,False,0.0,46,46,46,46,46,True,True,True,True,True
d_ramp_down_summer,DSO_4,down,frozen_ofo,DSO_4|trafo_11,DSO_4,46,True,46,True,2.2712733839196027,4.334207132526094,False,107.29784204649664,46,-10.0,-105.2510149561091,10.0,True,0.0,197.76276497367596,-7.719828103427817,-5.448554719508215,2.2712733839196027,0,1.0204167408800875,1.0550966635616277,False,0.0,46,46,46,46,46,True,True,True,True,True
d_reversal_spring,DSO_4,up,frozen_ofo,DSO_4|trafo_10,DSO_4,46,True,46,True,2.8655785689365825,5.655442590604533,False,116.04857104490036,46,10.0,116.09359037555922,10.0,True,0.0,255.98611282310785,4.140970628088878,1.2753920591522956,2.8655785689365825,0,1.0183700603274215,1.041377442054648,False,0.0,46,46,46,46,46,True,True,True,True,True
d_reversal_spring,DSO_4,down,frozen_ofo,DSO_4|trafo_11,DSO_4,46,True,46,True,1.1234270673248972,2.038685271447376,False,88.7494435860985,46,-10.0,-93.45549873478645,10.0,True,0.0,191.1056993736164,-14.567476786464312,-13.444049719139416,1.1234270673248972,0,1.0233332279452556,1.0529923829137062,False,0.0,46,46,46,46,46,True,True,True,True,True
