window,dso,direction,variant,trafo,group,n_inner,censored,n_inner_tracking,tracking_censored,steady_state_offset_mvar,final_delta_mvar,capability_limited,headroom_end_mvar,n_inner_cap,step_mvar,raw_step_mvar,step_cap_mvar,step_capped,command_delivery_error_mvar,band_width_mvar,q_set_after_mvar,q_actual_after_mvar,residual_mvar,tap_moves,v_min_pu,v_max_pu,v_violation,z_slack_max,n_inner_flat_0.02,n_inner_flat_0.05,n_inner_flat_0.1,n_inner_flat_0.25,n_inner_flat_1,unconverged_flat_0.02,unconverged_flat_0.05,unconverged_flat_0.1,unconverged_flat_0.25,unconverged_flat_1
d_ramp_up_autumn,DSO_4,up,frozen_ofo,DSO_4|trafo_10,DSO_4,1,False,4,False,0.05874189497875726,0.0016405145434905677,False,43.4849335636132,46,10.0,52.991056948847124,10.0,True,0.0,108.6423011462232,-10.800105047766543,-10.741363152787786,0.05874189497875726,0,1.0197321170951057,1.030773959679923,False,0.0,17,9,7,3,1,False,False,False,False,False
d_ramp_up_autumn,DSO_4,down,frozen_ofo,DSO_4|trafo_9,DSO_4,0,False,46,True,5.080027090069378,0.023053062031324956,False,6.734049770004151,46,-6.000422343985436,-6.000422343985436,10.0,False,0.0,12.936041082897706,-11.480978028307518,-6.40095093823814,5.080027090069378,0,1.021349188852895,1.0430296767048717,False,0.0,46,0,0,0,0,True,False,False,False,False
d_ramp_up_autumn,DSO_4,down,frozen_ofo,DSO_4|trafo_11,DSO_4,2,False,8,False,0.09747605840180995,0.0011901269656391378,False,19.583369677970893,46,-10.0,-24.40029122994728,10.0,True,0.0,55.09545091446155,-26.006025108325076,-25.908549049923266,0.09747605840180995,0,1.0221474306056397,1.051086535151522,False,0.0,21,17,10,7,2,False,False,False,False,False
d_quiet_spring,DSO_4,down,frozen_ofo,DSO_4|trafo_9,DSO_4,2,False,4,False,0.012462492339297526,0.09788054760330844,False,32.38165306241356,46,-10.0,-38.829085572918515,10.0,True,0.0,84.84456516574541,-11.79069626110498,-11.778233768765682,0.012462492339297526,0,1.0215162562545959,1.0482606761377522,False,0.0,46,46,43,14,2,True,True,False,False,False
d_gen_trip_winter,DSO_4,up,frozen_ofo,DSO_4|trafo_11,DSO_4,1,False,3,False,0.08493092973495919,0.00032323348874996327,False,29.331926945371908,46,10.0,34.16122816987037,10.0,True,0.0,75.53506703249738,-19.790771030909383,-19.705840101174424,0.08493092973495919,0,1.0280593841485295,1.0449090346108025,False,0.0,10,8,7,4,1,False,False,False,False,False
d_gen_trip_winter,DSO_4,up,frozen_ofo,DSO_4|trafo_9,DSO_4,2,False,5,False,0.0025182751885393095,4.085183277435789e-05,False,8.663506216611761,46,10.0,15.827667703390832,10.0,True,0.0,32.50340060159614,-1.5907561965897372,-1.588237921401198,0.0025182751885393095,0,1.0241260377947479,1.0475319933201306,False,0.0,11,9,7,5,2,False,False,False,False,False
d_quiet_spring,DSO_4,up,frozen_ofo,DSO_4|trafo_10,DSO_4,46,True,45,False,0.9228758931330567,1.9613429678836187,False,111.50047010467841,46,10.0,117.08690686724698,10.0,True,0.0,256.8557638745019,2.9525188357790224,2.0296429426459657,0.9228758931330567,0,1.0157137980617488,1.0411115127159998,False,0.0,46,46,46,46,46,True,True,True,True,True
d_gen_trip_summer,DSO_4,up,frozen_ofo,DSO_4|trafo_10,DSO_4,30,False,15,False,0.23557431856927913,0.5531430342035053,False,113.57308166781878,46,10.0,119.78857752438824,10.0,True,0.0,256.7620404169843,3.7500268435643775,3.5144525249950984,0.23557431856927913,0,1.016201207013776,1.0395599809486713,False,0.0,46,46,46,46,30,True,True,True,True,False
d_quiet_spring,DSO_4,down,frozen_ofo,DSO_4|trafo_11,DSO_4,26,False,14,False,0.31048233106554335,0.5298987271781481,False,93.90843955956453,46,-10.0,-93.96330275422764,10.0,True,0.0,192.2719815730898,-15.213618952533041,-14.903136621467498,0.31048233106554335,0,1.0205166063050755,1.055534134843007,False,0.0,46,46,46,46,26,True,True,True,True,False
d_gen_trip_spring,DSO_4,up,frozen_ofo,DSO_4|trafo_9,DSO_4,46,True,7,False,0.6048396308292112,1.264963153521169,False,26.34715694354561,46,10.0,35.138926733555216,10.0,True,0.0,85.51648379223732,15.102361103587551,15.707200734416762,0.6048396308292112,0,1.016800049140586,1.0450982307061822,False,0.0,46,46,46,46,46,True,True,True,True,True
d_gen_trip_spring,DSO_4,up,frozen_ofo,DSO_4|trafo_11,DSO_4,46,True,46,True,2.189875927173114,4.224282003903674,False,75.14546296136326,46,10.0,79.05959048508194,10.0,True,0.0,197.05090645537652,15.434090317144777,13.244214389971663,2.189875927173114,0,1.015191077962513,1.0398823217158475,False,0.0,46,46,46,46,46,True,True,True,True,True
d_gen_trip_spring,DSO_4,down,frozen_ofo,DSO_4|trafo_10,DSO_4,46,True,46,True,2.9181769158096795,5.728999402921479,False,146.39874818017032,46,-10.0,-145.78221619551618,10.0,True,0.0,264.497777180363,0.5946904364883885,3.512867352298068,2.9181769158096795,0,1.0230013021482804,1.0496288087250527,False,0.0,46,46,46,46,46,True,True,True,True,True
d_ramp_down_spring,DSO_4,up,frozen_ofo,DSO_4|trafo_9,DSO_4,0,False,46,True,5.036424768134515,0.023876601587115687,False,8.317612797621067,46,7.104958508943256,7.104958508943256,10.0,False,0.0,12.83402933352211,0.8345322693141144,-4.201892498820401,5.036424768134515,0,1.0200144210821678,1.0518714695764113,False,0.0,46,15,0,0,0,True,False,False,False,False
d_ramp_down_spring,DSO_4,up,frozen_ofo,DSO_4|trafo_11,DSO_4,2,False,6,False,0.02838668807419964,0.0024112812926553318,False,34.162035342172956,46,10.0,33.96217273746547,10.0,True,0.0,54.28271257376956,-14.308539420146836,-14.280152732072636,0.02838668807419964,0,1.0189796882048838,1.0435622444665007,False,0.0,16,13,10,7,2,False,False,False,False,False
d_ramp_down_spring,DSO_4,down,frozen_ofo,DSO_4|trafo_10,DSO_4,1,False,4,False,0.22133362992918393,0.02624295972583468,False,34.00885352549855,46,-10.0,-46.81086269457223,10.0,True,0.0,107.94975146797465,-33.85463531746671,-34.07596894739589,0.22133362992918393,0,1.0216473247078057,1.0614851097663054,False,0.0,46,10,7,3,1,True,False,False,False,False
d_ramp_down_summer,DSO_4,up,frozen_ofo,DSO_4|trafo_10,DSO_4,46,True,46,True,2.9444025514723595,5.911226524551504,False,110.50148910301488,46,10.000000000000002,113.92705496404386,10.0,True,0.0,265.788197185397,16.204593311713992,13.260190760241633,2.9444025514723595,0,1.013479014795657,1.0465847103236126,False,0.0,46,46,46,46,46,True,True,True,True,True
d_reversal_autumn,DSO_4,up,frozen_ofo,DSO_4|trafo_9,DSO_4,0,False,46,True,6.707304175196223,0.016565348362055587,False,5.747166264030216,46,6.155943897375071,6.155943897375071,10.0,False,0.0,13.048707084514781,2.1712409753651336,-4.536063199831089,6.707304175196223,0,1.0221016766012812,1.0429038998443356,False,0.0,0,0,0,0,0,False,False,False,False,False
d_gen_trip_summer,DSO_4,down,frozen_ofo,DSO_4|trafo_9,DSO_4,2,False,4,False,0.018837321180926736,0.02947079271210029,False,31.138893290878528,46,-10.0,-37.81060019017723,10.0,True,0.0,84.87884947370287,-11.049866467721614,-11.06870378890254,0.018837321180926736,0,1.021955826369758,1.0476106495364668,False,0.0,46,35,23,10,2,True,False,False,False,False
d_ramp_down_summer,DSO_4,down,frozen_ofo,DSO_4|trafo_9,DSO_4,46,True,7,False,0.6936177287359317,1.2848467330615954,False,35.95293425677992,46,-10.0,-43.060124977326225,10.0,True,0.0,85.52735721921715,-7.172608318716161,-7.866226047452093,0.6936177287359317,0,1.0202859889792681,1.051104822228798,False,0.0,46,46,46,46,46,True,True,True,True,True
d_reversal_autumn,DSO_4,down,frozen_ofo,DSO_4|trafo_10,DSO_4,1,False,5,False,0.2837091398998375,0.00011202231040030597,False,46.633144363146386,46,-10.0,-51.792704939315236,10.0,True,0.0,109.03171864322906,-28.419488724772542,-28.135779584872704,0.2837091398998375,0,1.0235653173468402,1.0562168423074616,False,0.0,13,9,7,3,1,False,False,False,False,False
d_reversal_autumn,DSO_4,up,frozen_ofo,DSO_4|trafo_11,DSO_4,2,False,8,False,0.23921982734924896,0.0014832847472376898,False,15.807656564233463,46,10.0,27.114429648304952,10.0,True,0.0,55.171725534983985,-6.467584982985233,-6.706804810334482,0.23921982734924896,0,1.0163391652493587,1.0381540791220025,False,0.0,16,13,10,7,2,False,False,False,False,False
d_gen_trip_winter,DSO_4,down,frozen_ofo,DSO_4|trafo_10,DSO_4,1,False,4,False,0.3547114186494653,0.001659071417968505,False,38.7952306692034,46,-10.0,-43.39395162618439,10.0,True,0.0,83.7684219310842,-31.447260534738774,-31.09254911608931,0.3547114186494653,0,1.030057198013043,1.0610713159216818,False,0.0,8,8,6,4,1,False,False,False,False,False
d_ramp_down_summer,DSO_4,down,frozen_ofo,DSO_4|trafo_11,DSO_4,46,True,46,True,2.1960159994316735,4.283337715045956,False,107.18844692785568,46,-10.0,-105.2015984013818,10.0,True,0.0,197.76276497367596,-7.772610359594448,-5.576594360162774,2.1960159994316735,0,1.0204819339000544,1.0585868093207422,False,0.0,46,46,46,46,46,True,True,True,True,True
d_gen_trip_summer,DSO_4,down,frozen_ofo,DSO_4|trafo_11,DSO_4,18,False,10,False,0.14258490326340834,0.16813423574168596,False,88.38894964159132,46,-10.0,-89.83197016042092,10.0,True,0.0,191.33786379520217,-14.98323338433412,-14.840648481070712,0.14258490326340834,0,1.0208698899174633,1.054065127669647,False,0.0,46,46,46,38,18,True,True,True,False,False
d_ramp_up_spring,DSO_4,up,frozen_ofo,DSO_4|trafo_9,DSO_4,2,False,4,False,0.0050808952437160215,0.005338580511693891,False,35.78688528151797,46,10.0,42.54826788250757,10.0,True,0.0,84.59836506233346,7.7265251492175215,7.7214442539738055,0.0050808952437160215,0,1.0171845335063314,1.0446594454101348,False,0.0,31,22,16,8,2,False,False,False,False,False
