window,n,median,p80,p90,p95,max,n_censored,censoring_fraction,n_gt_9,applied_step_abs_median_mvar,raw_step_abs_median_mvar,final_delta_abs_max_mvar,residual_abs_max_mvar,headroom_min_mvar,tap_moves,voltage_violations,slack_max,delivery_error_abs_max_mvar
d_gen_trip_spring,12,6.0,39.800000000000026,46.0,46.0,46,3,0.25,5,10.0,85.8349817026291,5.779449425346729,2.950824827633563,26.377808460155745,0,0,0.0,0.0
d_gen_trip_summer,12,4.0,10.600000000000001,42.500000000000014,46.0,46,2,0.16666666666666666,3,10.0,89.62202567246814,3.3841797009459063,1.7069516101876978,31.182295563671907,0,0,0.0,0.0
d_gen_trip_winter,12,1.0,1.8000000000000007,2.0,2.0,2,0,0.0,0,10.0,34.633715849625666,0.0343799124340407,3.485815681330916,8.66937241584736,0,0,0.0,0.0
d_quiet_spring,12,5.0,11.400000000000002,42.60000000000001,46.0,46,2,0.16666666666666666,3,10.0,89.8841591966848,5.42264985100775,2.7392666277147484,32.56158244386455,0,0,0.0,0.0
d_ramp_down_spring,12,1.0,1.0,1.0,1.4499999999999993,2,0,0.0,0,10.0,28.258052536432455,0.063286190159463,10.138575328472209,6.059355221043526,0,0,0.0,0.0
d_ramp_down_summer,12,6.0,41.20000000000002,46.0,46.0,46,3,0.25,5,10.0,91.29268209873239,5.94627887860533,2.9841693454509013,35.67520552317144,0,0,0.0,0.0
d_ramp_up_autumn,12,1.0,1.0,1.0,1.4499999999999993,2,0,0.0,0,10.0,27.78290427025661,0.0234484018921783,10.05781122997833,6.8142603931265375,0,0,0.0,0.0
d_ramp_up_spring,12,4.0,8.8,22.500000000000007,27.149999999999995,31,0,0.0,2,10.0,89.62791948376785,0.52427115148783,0.4143690279941019,34.40487311143708,0,0,0.0,0.0
d_reversal_autumn,12,1.0,1.0,1.0,1.4499999999999993,2,0,0.0,0,10.0,27.991337885417302,0.0225799522357199,8.725885033960363,5.696247279441871,0,0,0.0,0.0
d_reversal_spring,12,5.0,11.600000000000001,42.60000000000001,46.0,46,2,0.16666666666666666,4,10.0,90.08009761093516,5.655442590604533,2.8655785689365825,31.597139029073805,0,0,1.0,0.0
