case,actual_delta,actuator_class,attempted_horizons_s,censored,diagnostic_change,diagnostic_expected_change,diagnostic_final,diagnostic_initial,diagnostic_tolerance,direction,dispatch_time_s,domain,event_live,event_offset_s,group,horizon_s,mode,physical_event_time_s,qss_score,qss_worst_output,requested_delta,selection_reasons,subband,t_settle_s,target,unit,worst_output_kind,worst_signal
tap_m1_NC3W_DSO_1_t0,-1.0,coupler_oltc,30,False,-0.9999999999999997,-1.0,-0.9999999999999997,0.0,0.5,-1,305.0,DSO,True,5.0,DSO_1,30.0,discrete,310.0,,,-1.0,all feasible discrete locations,False,5.9116666666658375,NC3W_DSO_1_t0,tap,tso_boundary_q,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_1_t1,-1.0,coupler_oltc,30,False,-0.9999999999999997,-1.0,-0.9999999999999997,0.0,0.5,-1,305.0,DSO,True,5.0,DSO_1,30.0,discrete,310.0,,,-1.0,all feasible discrete locations,False,6.011666666665747,NC3W_DSO_1_t1,tap,voltage,V_DSO_3_bus84
tap_m1_NC3W_DSO_1_t2,-1.0,coupler_oltc,30,False,-0.9999999999999997,-1.0,-0.9999999999999997,0.0,0.5,-1,305.0,DSO,True,5.0,DSO_1,30.0,discrete,310.0,,,-1.0,all feasible discrete locations,False,6.111666666665656,NC3W_DSO_1_t2,tap,tso_boundary_q,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_2_t3,-1.0,coupler_oltc,30,False,-0.9999999999999997,-1.0,-0.9999999999999997,0.0,0.5,-1,305.0,DSO,True,5.0,DSO_2,30.0,discrete,310.0,,,-1.0,all feasible discrete locations,False,6.061666666665701,NC3W_DSO_2_t3,tap,tso_boundary_q,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_2_t4,-1.0,coupler_oltc,30,False,-0.9999999999999996,-1.0,-0.9999999999999996,0.0,0.5,-1,305.0,DSO,True,5.0,DSO_2,30.0,discrete,310.0,,,-1.0,all feasible discrete locations,False,6.261666666665519,NC3W_DSO_2_t4,tap,tso_boundary_q,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_2_t5,-1.0,coupler_oltc,30,False,-0.9999999999999996,-1.0,-0.9999999999999996,0.0,0.5,-1,305.0,DSO,True,5.0,DSO_2,30.0,discrete,310.0,,,-1.0,all feasible discrete locations,False,6.16166666666561,NC3W_DSO_2_t5,tap,tso_boundary_q,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_3_t6,-1.0,coupler_oltc,30,False,-0.9999999999999997,-1.0,-0.9999999999999997,0.0,0.5,-1,305.0,DSO,True,5.0,DSO_3,30.0,discrete,310.0,,,-1.0,all feasible discrete locations,False,6.211666666665565,NC3W_DSO_3_t6,tap,tso_boundary_q,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_3_t7,-1.0,coupler_oltc,30,False,-0.9999999999999996,-1.0,-0.9999999999999996,0.0,0.5,-1,305.0,DSO,True,5.0,DSO_3,30.0,discrete,310.0,,,-1.0,all feasible discrete locations,False,7.411666666664473,NC3W_DSO_3_t7,tap,tso_boundary_q,Q_TSO_Z1_Z2_TN_line2
tap_m1_NC3W_DSO_3_t8,-1.0,coupler_oltc,30,False,-0.9999999999999996,-1.0,-0.9999999999999996,0.0,0.5,-1,305.0,DSO,True,5.0,DSO_3,30.0,discrete,310.0,,,-1.0,all feasible discrete locations,False,6.211666666665565,NC3W_DSO_3_t8,tap,dso_interface_q,Q_DSO_NC3W_DSO_3_t8
tap_m1_NC3W_DSO_4_t10,-1.0,coupler_oltc,30,False,-0.9999999999999996,-1.0,-0.9999999999999996,0.0,0.5,-1,305.0,DSO,True,5.0,DSO_4,30.0,discrete,310.0,,,-1.0,all feasible discrete locations,False,6.611666666665201,NC3W_DSO_4_t10,tap,tso_boundary_q,Q_TSO_Z3_Z1_TN_line25
tap_m1_NC3W_DSO_4_t11,-1.0,coupler_oltc,30,False,-0.9999999999999996,-1.0,-0.9999999999999996,0.0,0.5,-1,305.0,DSO,True,5.0,DSO_4,30.0,discrete,310.0,,,-1.0,all feasible discrete locations,False,6.16166666666561,NC3W_DSO_4_t11,tap,tso_boundary_q,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_4_t9,-1.0,coupler_oltc,30,False,-0.9999999999999996,-1.0,-0.9999999999999996,0.0,0.5,-1,305.0,DSO,True,5.0,DSO_4,30.0,discrete,310.0,,,-1.0,all feasible discrete locations,False,6.111666666665656,NC3W_DSO_4_t9,tap,tso_boundary_q,Q_TSO_Z2_Z1_TN_line14
tap_p1_NC3W_DSO_1_t0,1.0,coupler_oltc,30,False,0.9999999999999997,1.0,0.9999999999999997,0.0,0.5,1,305.0,DSO,True,5.0,DSO_1,30.0,discrete,310.0,,,1.0,all feasible discrete locations,False,5.111666666666565,NC3W_DSO_1_t0,tap,dso_interface_q,Q_DSO_NC3W_DSO_1_t0
tap_p1_NC3W_DSO_1_t1,1.0,coupler_oltc,30,False,0.9999999999999997,1.0,0.9999999999999997,0.0,0.5,1,305.0,DSO,True,5.0,DSO_1,30.0,discrete,310.0,,,1.0,all feasible discrete locations,False,5.111666666666565,NC3W_DSO_1_t1,tap,dso_interface_q,Q_DSO_NC3W_DSO_1_t1
