case,actuator_class,censored,censored_all,delta_vs_all_s,direction,group,mode,subband,subband_all,t_settle_all_s,t_settle_s,target,worst_output_kind,worst_output_kind_all,worst_output_kinds,worst_signal,worst_signal_all
tap_m1_NC3W_DSO_1_t0,coupler_oltc,False,False,0.1999999999998181,-1,DSO_1,discrete,False,False,5.9116666666658375,5.711666666666019,NC3W_DSO_1_t0,voltage,tso_boundary_q,voltage,V_DSO_3_bus92,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_1_t1,coupler_oltc,False,False,0.0,-1,DSO_1,discrete,False,False,6.011666666665747,6.011666666665747,NC3W_DSO_1_t1,voltage,voltage,voltage,V_DSO_3_bus84,V_DSO_3_bus84
tap_m1_NC3W_DSO_1_t2,coupler_oltc,False,False,0.0,-1,DSO_1,discrete,False,False,6.111666666665656,6.111666666665656,NC3W_DSO_1_t2,voltage,tso_boundary_q,voltage,V_DSO_3_bus92,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_2_t3,coupler_oltc,False,False,0.29999999999972715,-1,DSO_2,discrete,False,False,6.061666666665701,5.761666666665974,NC3W_DSO_2_t3,voltage,tso_boundary_q,voltage,V_DSO_3_bus92,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_2_t4,coupler_oltc,False,False,0.14999999999986358,-1,DSO_2,discrete,False,False,6.261666666665519,6.111666666665656,NC3W_DSO_2_t4,voltage,tso_boundary_q,voltage,V_DSO_3_bus91,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_2_t5,coupler_oltc,False,False,0.09999999999990905,-1,DSO_2,discrete,False,False,6.16166666666561,6.061666666665701,NC3W_DSO_2_t5,voltage,tso_boundary_q,voltage,V_DSO_3_bus83,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_3_t6,coupler_oltc,False,False,0.1999999999998181,-1,DSO_3,discrete,False,False,6.211666666665565,6.011666666665747,NC3W_DSO_3_t6,voltage,tso_boundary_q,voltage,V_DSO_2_bus69,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_3_t7,coupler_oltc,False,False,1.2999999999988177,-1,DSO_3,discrete,False,False,7.411666666664473,6.111666666665656,NC3W_DSO_3_t7,voltage,tso_boundary_q,voltage,V_DSO_2_bus68,Q_TSO_Z1_Z2_TN_line2
tap_m1_NC3W_DSO_3_t8,coupler_oltc,False,False,0.14999999999986358,-1,DSO_3,discrete,False,False,6.211666666665565,6.061666666665701,NC3W_DSO_3_t8,voltage,dso_interface_q,voltage,V_DSO_2_bus68,Q_DSO_NC3W_DSO_3_t8
tap_m1_NC3W_DSO_4_t10,coupler_oltc,False,False,0.5499999999994998,-1,DSO_4,discrete,False,False,6.611666666665201,6.061666666665701,NC3W_DSO_4_t10,voltage,tso_boundary_q,voltage,V_TN_bus18,Q_TSO_Z3_Z1_TN_line25
tap_m1_NC3W_DSO_4_t11,coupler_oltc,False,False,0.14999999999986358,-1,DSO_4,discrete,False,False,6.16166666666561,6.011666666665747,NC3W_DSO_4_t11,voltage,tso_boundary_q,voltage,V_DSO_2_bus68,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_4_t9,coupler_oltc,False,False,0.1999999999998181,-1,DSO_4,discrete,False,False,6.111666666665656,5.9116666666658375,NC3W_DSO_4_t9,voltage,tso_boundary_q,voltage,V_DSO_2_bus68,Q_TSO_Z2_Z1_TN_line14
tap_p1_NC3W_DSO_1_t0,coupler_oltc,False,False,0.049999999999954525,1,DSO_1,discrete,False,False,5.111666666666565,5.061666666666611,NC3W_DSO_1_t0,voltage,dso_interface_q,voltage,V_DSO_1_bus43,Q_DSO_NC3W_DSO_1_t0
tap_p1_NC3W_DSO_1_t1,coupler_oltc,False,False,0.049999999999954525,1,DSO_1,discrete,False,False,5.111666666666565,5.061666666666611,NC3W_DSO_1_t1,voltage,dso_interface_q,voltage,V_DSO_1_bus46,Q_DSO_NC3W_DSO_1_t1
tap_p1_NC3W_DSO_1_t2,coupler_oltc,False,False,0.049999999999954525,1,DSO_1,discrete,False,False,5.111666666666565,5.061666666666611,NC3W_DSO_1_t2,voltage,dso_interface_q,voltage,V_DSO_1_bus51,Q_DSO_NC3W_DSO_1_t2
tap_p1_NC3W_DSO_2_t3,coupler_oltc,False,False,0.049999999999954525,1,DSO_2,discrete,False,False,5.111666666666565,5.061666666666611,NC3W_DSO_2_t3,voltage,dso_interface_q,voltage,V_DSO_2_bus63,Q_DSO_NC3W_DSO_2_t3
tap_p1_NC3W_DSO_2_t4,coupler_oltc,False,False,0.049999999999954525,1,DSO_2,discrete,False,False,5.111666666666565,5.061666666666611,NC3W_DSO_2_t4,voltage,dso_interface_q,voltage,V_DSO_2_bus66,Q_DSO_NC3W_DSO_2_t4
tap_p1_NC3W_DSO_2_t5,coupler_oltc,False,False,0.049999999999954525,1,DSO_2,discrete,False,False,5.111666666666565,5.061666666666611,NC3W_DSO_2_t5,voltage,dso_interface_q,voltage,V_DSO_2_bus71,Q_DSO_NC3W_DSO_2_t5
tap_p1_NC3W_DSO_3_t6,coupler_oltc,False,False,0.049999999999954525,1,DSO_3,discrete,False,False,5.111666666666565,5.061666666666611,NC3W_DSO_3_t6,voltage,dso_interface_q,voltage,V_DSO_3_bus83,Q_DSO_NC3W_DSO_3_t6
tap_p1_NC3W_DSO_3_t7,coupler_oltc,False,False,0.049999999999954525,1,DSO_3,discrete,False,False,5.111666666666565,5.061666666666611,NC3W_DSO_3_t7,voltage,dso_interface_q,voltage,V_DSO_3_bus86,Q_DSO_NC3W_DSO_3_t7
tap_p1_NC3W_DSO_3_t8,coupler_oltc,False,False,0.049999999999954525,1,DSO_3,discrete,False,False,5.111666666666565,5.061666666666611,NC3W_DSO_3_t8,voltage,dso_interface_q,voltage,V_DSO_3_bus91,Q_DSO_NC3W_DSO_3_t8
tap_p1_NC3W_DSO_4_t10,coupler_oltc,False,False,0.049999999999954525,1,DSO_4,discrete,False,False,5.111666666666565,5.061666666666611,NC3W_DSO_4_t10,voltage,dso_interface_q,voltage,V_DSO_4_bus106,Q_DSO_NC3W_DSO_4_t10
tap_p1_NC3W_DSO_4_t11,coupler_oltc,False,False,0.049999999999954525,1,DSO_4,discrete,False,False,5.111666666666565,5.061666666666611,NC3W_DSO_4_t11,voltage,dso_interface_q,voltage,V_DSO_4_bus111,Q_DSO_NC3W_DSO_4_t11
tap_p1_NC3W_DSO_4_t9,coupler_oltc,False,False,0.049999999999954525,1,DSO_4,discrete,False,False,5.111666666666565,5.061666666666611,NC3W_DSO_4_t9,voltage,dso_interface_q,voltage,V_DSO_4_bus103,Q_DSO_NC3W_DSO_4_t9
tap_m1_MT_g0_t0,tso_oltc,False,False,5.999999999994543,-1,Z1,discrete,False,False,15.261666666657334,9.26166666666279,MT_g0_t0,voltage,tso_boundary_q,voltage,V_TN_bus1,Q_TSO_Z1_Z2_TN_line2
tap_m1_MT_g1_t2,tso_oltc,False,False,1.5999999999985448,-1,Z2,discrete,False,False,13.411666666659016,11.811666666660471,MT_g1_t2,voltage,tso_boundary_q,voltage,V_DSO_3_bus87,Q_TSO_Z2_Z3_TN_line18
tap_m1_MT_g2_t6,tso_oltc,False,False,0.3999999999996362,-1,Z3,discrete,False,False,8.561666666663427,8.161666666663791,MT_g2_t6,voltage,tso_boundary_q,voltage,V_TN_bus18,Q_TSO_Z2_Z3_TN_line18
tap_m1_MT_g5_t11,tso_oltc,False,False,1.3499999999987722,-1,Z3,discrete,False,False,8.011666666663928,6.661666666665155,MT_g5_t11,voltage,tso_boundary_q,voltage,V_TN_bus18,Q_TSO_Z1_Z2_TN_line2
tap_m1_MT_g7_t10,tso_oltc,False,False,0.949999999999136,-1,Z1,discrete,False,False,7.411666666664473,6.461666666665337,MT_g7_t10,voltage,tso_boundary_q,voltage,V_DSO_2_bus72,Q_TSO_Z2_Z1_TN_line14
tap_m1_NT_t3,tso_oltc,False,False,0.0,-1,Z2,discrete,False,False,5.061666666666611,5.061666666666611,NT_t3,voltage,voltage,voltage,V_TN_bus11,V_TN_bus11
tap_m1_NT_t4,tso_oltc,False,False,0.0,-1,Z2,discrete,False,False,5.061666666666611,5.061666666666611,NT_t4,voltage,voltage,voltage,V_TN_bus11,V_TN_bus11
tap_p1_MT_g0_t0,tso_oltc,False,False,4.649999999995771,1,Z1,discrete,False,False,14.511666666658016,9.861666666662245,MT_g0_t0,voltage,tso_boundary_q,voltage,V_TN_bus1,Q_TSO_Z1_Z2_TN_line2
tap_p1_MT_g1_t2,tso_oltc,False,False,0.6999999999993634,1,Z2,discrete,False,False,8.411666666663564,7.7116666666642,MT_g1_t2,voltage,dso_interface_q,voltage,V_TN_bus9,Q_DSO_NC3W_DSO_3_t7
tap_p1_MT_g2_t6,tso_oltc,False,False,0.0,1,Z3,discrete,False,False,8.2616666666637,8.2616666666637,MT_g2_t6,voltage,voltage,voltage,V_TN_bus18,V_TN_bus18
tap_p1_MT_g5_t11,tso_oltc,False,False,0.0,1,Z3,discrete,False,False,6.411666666665383,6.411666666665383,MT_g5_t11,voltage,voltage,voltage,V_TN_bus35,V_TN_bus35
tap_p1_MT_g7_t10,tso_oltc,False,False,0.0,1,Z1,discrete,False,False,7.26166666666461,7.26166666666461,MT_g7_t10,voltage,voltage,voltage,V_TN_bus28,V_TN_bus28
tap_p1_NT_t3,tso_oltc,False,False,0.0,1,Z2,discrete,False,False,5.061666666666611,5.061666666666611,NT_t3,voltage,voltage,voltage,V_TN_bus11,V_TN_bus11
