case,actuator_class,censored,censored_dso_q,censored_q,censored_tso_q,direction,group,mode,q_minus_v_s,subband,subband_dso_q,subband_q,subband_tso_q,t_settle_dso_q_s,t_settle_q_s,t_settle_s,t_settle_tso_q_s,target,worst_output_kind,worst_output_kind_dso_q,worst_output_kind_q,worst_output_kind_tso_q,worst_output_kinds,worst_output_kinds_dso_q,worst_output_kinds_q,worst_output_kinds_tso_q,worst_signal,worst_signal_dso_q,worst_signal_q,worst_signal_tso_q
tap_m1_NC3W_DSO_1_t0,coupler_oltc,False,False,False,False,-1,DSO_1,discrete,0.1999999999998181,False,False,False,False,5.16166666666652,5.9116666666658375,5.711666666666019,5.9116666666658375,NC3W_DSO_1_t0,voltage,dso_interface_q,tso_boundary_q,tso_boundary_q,voltage,dso_interface_q,dso_interface_q|tso_boundary_q,tso_boundary_q,V_DSO_3_bus92,Q_DSO_NC3W_DSO_1_t0,Q_TSO_Z2_Z1_TN_line14,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_1_t1,coupler_oltc,False,False,False,False,-1,DSO_1,discrete,-0.049999999999954525,False,False,False,False,5.961666666665792,5.961666666665792,6.011666666665747,5.961666666665792,NC3W_DSO_1_t1,voltage,dso_interface_q,dso_interface_q,tso_boundary_q,voltage,dso_interface_q,dso_interface_q|tso_boundary_q,tso_boundary_q,V_DSO_3_bus84,Q_DSO_NC3W_DSO_1_t1,Q_DSO_NC3W_DSO_1_t1,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_1_t2,coupler_oltc,False,False,False,False,-1,DSO_1,discrete,0.0,False,False,False,False,6.011666666665747,6.111666666665656,6.111666666665656,6.111666666665656,NC3W_DSO_1_t2,voltage,dso_interface_q,tso_boundary_q,tso_boundary_q,voltage,dso_interface_q,dso_interface_q|tso_boundary_q,tso_boundary_q,V_DSO_3_bus92,Q_DSO_NC3W_DSO_1_t2,Q_TSO_Z2_Z1_TN_line14,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_2_t3,coupler_oltc,False,False,False,False,-1,DSO_2,discrete,0.29999999999972715,False,False,False,False,5.111666666666565,6.061666666665701,5.761666666665974,6.061666666665701,NC3W_DSO_2_t3,voltage,dso_interface_q,tso_boundary_q,tso_boundary_q,voltage,dso_interface_q,dso_interface_q|tso_boundary_q,tso_boundary_q,V_DSO_3_bus92,Q_DSO_NC3W_DSO_2_t3,Q_TSO_Z2_Z1_TN_line14,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_2_t4,coupler_oltc,False,False,False,False,-1,DSO_2,discrete,0.14999999999986358,False,False,False,False,6.16166666666561,6.261666666665519,6.111666666665656,6.261666666665519,NC3W_DSO_2_t4,voltage,dso_interface_q,tso_boundary_q,tso_boundary_q,voltage,dso_interface_q,dso_interface_q|tso_boundary_q,tso_boundary_q,V_DSO_3_bus91,Q_DSO_NC3W_DSO_2_t4,Q_TSO_Z2_Z1_TN_line14,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_2_t5,coupler_oltc,False,False,False,False,-1,DSO_2,discrete,0.09999999999990905,False,False,False,False,5.9116666666658375,6.16166666666561,6.061666666665701,6.16166666666561,NC3W_DSO_2_t5,voltage,dso_interface_q,tso_boundary_q,tso_boundary_q,voltage,dso_interface_q,dso_interface_q|tso_boundary_q,tso_boundary_q,V_DSO_3_bus83,Q_DSO_NC3W_DSO_2_t5,Q_TSO_Z2_Z1_TN_line14,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_3_t6,coupler_oltc,False,False,False,False,-1,DSO_3,discrete,0.1999999999998181,False,False,False,False,5.861666666665883,6.211666666665565,6.011666666665747,6.211666666665565,NC3W_DSO_3_t6,voltage,dso_interface_q,tso_boundary_q,tso_boundary_q,voltage,dso_interface_q,dso_interface_q|tso_boundary_q,tso_boundary_q,V_DSO_2_bus69,Q_DSO_NC3W_DSO_3_t6,Q_TSO_Z2_Z1_TN_line14,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_3_t7,coupler_oltc,False,False,False,False,-1,DSO_3,discrete,1.2999999999988177,False,False,False,False,6.411666666665383,7.411666666664473,6.111666666665656,7.411666666664473,NC3W_DSO_3_t7,voltage,dso_interface_q,tso_boundary_q,tso_boundary_q,voltage,dso_interface_q,dso_interface_q|tso_boundary_q,tso_boundary_q,V_DSO_2_bus68,Q_DSO_NC3W_DSO_3_t7,Q_TSO_Z1_Z2_TN_line2,Q_TSO_Z1_Z2_TN_line2
tap_m1_NC3W_DSO_3_t8,coupler_oltc,False,False,False,False,-1,DSO_3,discrete,0.14999999999986358,False,False,False,False,6.211666666665565,6.211666666665565,6.061666666665701,6.211666666665565,NC3W_DSO_3_t8,voltage,dso_interface_q,dso_interface_q,tso_boundary_q,voltage,dso_interface_q,dso_interface_q|tso_boundary_q,tso_boundary_q,V_DSO_2_bus68,Q_DSO_NC3W_DSO_3_t8,Q_DSO_NC3W_DSO_3_t8,Q_TSO_Z2_Z1_TN_line14
tap_m1_NC3W_DSO_4_t10,coupler_oltc,False,False,False,False,-1,DSO_4,discrete,0.5499999999994998,False,False,False,False,6.011666666665747,6.611666666665201,6.061666666665701,6.611666666665201,NC3W_DSO_4_t10,voltage,dso_interface_q,tso_boundary_q,tso_boundary_q,voltage,dso_interface_q,dso_interface_q|tso_boundary_q,tso_boundary_q,V_TN_bus18,Q_DSO_NC3W_DSO_4_t10,Q_TSO_Z3_Z1_TN_line25,Q_TSO_Z3_Z1_TN_line25
